stock,endDate,capitalExpenditures,changeToNetincome,otherCashflowsFromFinancingActivities,changeToAccountReceivables,changeToInventory,dividendsPaid,otherCashflowsFromInvestingActivities,depreciation,totalCashFromOperatingActivities,effectOfExchangeRate,repurchaseOfStock,changeInCash,netIncome,changeToOperatingActivities,totalCashFromFinancingActivities,netBorrowings,totalCashflowsFromInvestingActivities,changeToLiabilities,issuanceOfStock,investments,
PEP,2019-12-28,4232000000,382000000,45000000,650000000,190000000,5304000000,8000000,2266000000,9649000000,78000000,3114000000,5199000000,7314000000,87000000,8489000000,355000000,6437000000,735000000,329000000,681000000,#REF!
PEP,2018-12-29,3282000000,6411000000,53000000,253000000,174000000,4930000000,2000000,2195000000,9415000000,98000000,2103000000,112000000,12515000000,9000000,13769000000,6962000000,4564000000,882000000,281000000,8402000000,#REF!
PEP,2017-12-30,2969000000,3291000000,76000000,202000000,168000000,4472000000,29000000,2145000000,10030000000,47000000,2145000000,1488000000,4857000000,20000000,4186000000,2050000000,4403000000,201000000,462000000,1910000000,#REF!
PEP,2016-12-31,3040000000,1070000000,2562000000,349000000,75000000,4227000000,7000000,2154000000,10663000000,252000000,3130000000,50000000,6329000000,10000000,3211000000,6250000000,7150000000,981000000,465000000,4301000000,#REF!
PEP,2020-03-21,484000000,46000000,784000000,312000000,1349000000,1000000,533000000,749000000,66000000,649000000,5722000000,1338000000,263000000,7462000000,9384000000,925000000,1419000000,78000000,438000000,2000000,#REF!
PEP,2019-12-28,2273000000,375000000,1066000000,383000000,1333000000,30000000,632000000,4586000000,89000000,746000000,137000000,1766000000,177000000,2660000000,599000000,2152000000,655000000,47000000,18000000,29000000,#REF!
PEP,2019-09-07,792000000,224000000,344000000,299000000,1336000000,32000000,578000000,3675000000,35000000,542000000,2236000000,2100000000,72000000,390000000,1417000000,1014000000,601000000,72000000,169000000,1000000,#REF!
PEP,2019-06-15,725000000,231000000,966000000,437000000,1336000000,32000000,558000000,1733000000,33000000,793000000,1834000000,2035000000,6000000,2563000000,561000000,971000000,686000000,107000000,483000000,1316000000,#REF!
PFE,2019-12-31,2176000000,5626000000,735000000,742000000,1050000000,8043000000,206000000,5972000000,12588000000,32000000,8865000000,125000000,16273000000,1675000000,8485000000,8764000000,3945000000,564000000,394000000,9304000000,#REF!
PFE,2018-12-31,2042000000,734000000,589000000,644000000,717000000,7978000000,287000000,6334000000,15827000000,116000000,12198000000,205000000,11153000000,4000000,20441000000,935000000,4525000000,431000000,1259000000,6434000000,#REF!
PFE,2017-12-31,1956000000,12018000000,612000000,259000000,357000000,7659000000,671000000,6178000000,16802000000,53000000,5000000000,1235000000,21308000000,1386000000,13350000000,941000000,4740000000,46000000,862000000,2194000000,#REF!
PFE,2016-12-31,1823000000,3329000000,536000000,134000000,365000000,7317000000,80000000,5550000000,16192000000,215000000,5000000000,1041000000,7215000000,1004000000,9228000000,2606000000,7791000000,871000000,1019000000,12496000000,#REF!
PFE,2020-03-29,463000000,95000000,,,2105000000,4000000,1218000000,3133000000,15000000,,846000000,3401000000,1581000000,2200000000,18000000,71000000,0,124000000,420000000,237000000,#REF!
PFE,2019-12-31,672000000,1198000000,,,1992000000,61000000,1367000000,3769000000,9000000,,1495000000,336000000,3896000000,2440000000,470000000,2833000000,564000000,91000000,2168000000,69000000,#REF!
PFE,2019-09-29,565000000,6205000000,,,2004000000,35000000,1555000000,4510000000,13000000,,1008000000,7680000000,1480000000,3273000000,5347000000,6760000000,0,55000000,4798000000,125000000,#REF!
PFE,2019-06-30,479000000,399000000,,,2002000000,112000000,1518000000,2611000000,40000000,,180000000,5046000000,3553000000,851000000,1074000000,1902000000,0,122000000,1426000000,45000000,#REF!
PG,2019-06-30,3347000000,8153000000,,276000000,239000000,7498000000,,2824000000,15242000000,88000000,5003000000,1670000000,3897000000,973000000,9994000000,817000000,3490000000,1856000000,3324000000,3408000000,#REF!
PG,2018-06-30,3717000000,737000000,,177000000,188000000,7310000000,,2834000000,14867000000,19000000,7004000000,3000000000,9750000000,2000000000,14375000000,1238000000,3511000000,1385000000,1177000000,46000000,#REF!
PG,2017-06-30,3384000000,4950000000,,322000000,71000000,7236000000,,2820000000,12753000000,29000000,5204000000,2529000000,15326000000,43000000,8568000000,1399000000,6685000000,149000000,2473000000,3381000000,#REF!
PG,2016-06-30,3314000000,209000000,,35000000,116000000,7436000000,,3078000000,15435000000,381000000,4004000000,266000000,10508000000,204000000,9213000000,1285000000,5575000000,1285000000,2672000000,1368000000,#REF!
PG,2020-03-31,731000000,179000000,392000000,,1906000000,,799000000,4064000000,170000000,901000000,9114000000,2917000000,3000000,5945000000,8051000000,725000000,220000000,701000000,3000000,1906000000,#REF!
PG,2019-12-31,605000000,163000000,4000000,,1923000000,,677000000,4364000000,56000000,3504000000,3025000000,3717000000,20000000,6795000000,1553000000,650000000,193000000,185000000,3000000,1906000000,#REF!
PG,2019-09-30,1079000000,453000000,261000000,,1932000000,,723000000,4169000000,65000000,3000000000,5065000000,3593000000,35000000,4118000000,61000000,5079000000,1151000000,875000000,6152000000,1906000000,#REF!
PG,2019-06-30,814000000,7958000000,273000000,,1937000000,,820000000,4151000000,7000000,1750000000,1501000000,5241000000,436000000,3304000000,351000000,647000000,415000000,734000000,1091000000,1906000000,#REF!
PLD,2019-12-31,,472864000,280282000,108165000,,1345660000,6784000,1139879000,2264034000,5914000,22434000,744999000,1572959000,,839599000,802695000,685350000,115219000,6082000,113294000,#REF!
PLD,2018-12-31,,762839000,148150000,72955000,,1123367000,51982000,947214000,1803559000,10852000,26508000,103190000,1649361000,,1232101000,59033000,663796000,30125000,6891000,199920000,#REF!
PLD,2017-12-31,,918622000,787764000,37278000,,942884000,34583000,879140000,1687246000,15790000,19775000,360270000,1652325000,,2606584000,875837000,543278000,36374000,32858000,40584000,#REF!
PLD,2016-12-31,,628951000,364588000,106337000,,893455000,282717000,930985000,1417005000,342000,8570000,543236000,1209932000,,2125465000,898322000,1252038000,26513000,39470000,510599000,#REF!
PLD,2020-03-31,,141285000,105648000,,430766000,1065000,345970000,679093000,1315000,57565000,280984000,491053000,,1050411000,800872000,2009173000,123468000,850000,111773000,737020000,#REF!
PLD,2019-12-31,,15281000,82316000,,336698000,1900000,289240000,616374000,6813000,501000,63861000,386991000,,156222000,217190000,403104000,33376000,183000,9915000,36396000,#REF!
PLD,2019-09-30,,206511000,14109000,,336599000,11400000,282254000,644139000,6839000,74000,623804000,452146000,,350523000,737675000,364019000,126136000,1527000,69748000,52006000,#REF!
PLD,2019-06-30,,176903000,1730000,,336269000,2479000,284376000,508607000,4685000,765000,150160000,385276000,,285266000,145738000,77866000,9871000,1890000,106853000,95860000,#REF!
PM,2019-12-31,852000000,1186000000,357000000,331000000,548000000,7161000000,418000000,964000000,10090000000,27000000,,245000000,7185000000,1108000000,8061000000,543000000,1811000000,451000000,,31000000,#REF!
PM,2018-12-31,1436000000,414000000,537000000,53000000,613000000,6885000000,501000000,989000000,9478000000,685000000,,1856000000,7911000000,910000000,9651000000,2229000000,998000000,51000000,,63000000,#REF!
PM,2017-12-31,1548000000,123000000,421000000,92000000,730000000,6520000000,1424000000,875000000,8912000000,1085000000,,4145000000,6035000000,554000000,2769000000,4172000000,3083000000,425000000,,111000000,#REF!
PM,2016-12-31,1172000000,430000000,166000000,1009000000,695000000,6378000000,379000000,743000000,8077000000,965000000,,865000000,6967000000,1477000000,5413000000,1131000000,834000000,373000000,,41000000,#REF!
PM,2020-03-31,170000000,284000000,116000000,575000000,1828000000,686000000,241000000,1111000000,191000000,,3115000000,1826000000,662000000,4549000000,2519000000,514000000,65000000,,2000000,202000000,#REF!
PM,2019-12-31,156000000,383000000,175000000,484000000,1825000000,28000000,255000000,3324000000,173000000,,354000000,1616000000,816000000,2959000000,1051000000,184000000,482000000,,2000000,83000000,#REF!
PM,2019-09-30,194000000,218000000,267000000,450000000,1779000000,319000000,237000000,2083000000,160000000,,2498000000,1896000000,250000000,453000000,2280000000,122000000,70000000,,3000000,48000000,#REF!
PM,2019-06-30,178000000,66000000,777000000,149000000,1777000000,29000000,232000000,3442000000,42000000,,927000000,2319000000,1397000000,2404000000,457000000,153000000,94000000,,4000000,170000000,#REF!
PYPL,2019-12-31,704000000,1775000000,2510000000,120000000,,,342000000,614000000,4561000000,6000000,1915000000,2510000000,2459000000,429000000,3688000000,2955000000,5733000000,4000000,138000000,3003000000,#REF!
PYPL,2018-12-31,823000000,2028000000,1573000000,59000000,,,1146000000,514000000,5483000000,113000000,3939000000,4948000000,2057000000,699000000,1262000000,960000000,840000000,26000000,144000000,483000000,#REF!
PYPL,2017-12-31,667000000,542000000,4292000000,12000000,,,1605000000,513000000,2531000000,36000000,1172000000,2166000000,1795000000,674000000,4084000000,820000000,4485000000,62000000,144000000,970000000,#REF!
PYPL,2016-12-31,669000000,1514000000,3063000000,77000000,,,1081000000,516000000,3158000000,36000000,1113000000,708000000,1401000000,484000000,2038000000,21000000,5904000000,11000000,109000000,2612000000,#REF!
PYPL,2020-03-31,206000000,914000000,77000000,,,401000000,293000000,1504000000,178000000,1202000000,999000000,84000000,106000000,2241000000,3000000000,2568000000,21000000,1000000,1918000000,442000000,#REF!
PYPL,2019-12-31,174000000,462000000,17000000,,,950000000,71000000,1264000000,43000000,336000000,759000000,507000000,37000000,149000000,7000000,399000000,55000000,60000000,585000000,134000000,#REF!
PYPL,2019-09-30,173000000,639000000,37000000,,,922000000,227000000,1096000000,48000000,374000000,3010000000,462000000,167000000,1339000000,2462000000,623000000,2000000,4000000,236000000,753000000,#REF!
PYPL,2019-06-30,139000000,236000000,30000000,,,39000000,228000000,1174000000,2000000,140000000,1071000000,823000000,76000000,996000000,500000000,1097000000,46000000,67000000,544000000,569000000,#REF!
QCOM,2019-09-29,887000000,2723000000,1270000000,1373000000,273000000,2968000000,126000000,1401000000,7286000000,32000000,2059000000,62000000,4386000000,2298000000,6386000000,503000000,806000000,572000000,414000000,207000000,#REF!
QCOM,2018-09-30,784000000,5539000000,268000000,734000000,337000000,3466000000,16000000,1561000000,3908000000,41000000,22860000000,25252000000,4964000000,1029000000,31500000000,5509000000,2381000000,328000000,603000000,3475000000,#REF!
QCOM,2017-09-24,690000000,198000000,266000000,1104000000,200000000,3252000000,25000000,1461000000,5001000000,48000000,1610000000,31083000000,2445000000,2477000000,5571000000,10202000000,20463000000,276000000,497000000,22672000000,#REF!
QCOM,2016-09-25,539000000,428000000,34000000,232000000,49000000,2990000000,149000000,1428000000,7632000000,4000000,4147000000,1614000000,5705000000,118000000,5754000000,749000000,3488000000,234000000,668000000,2518000000,#REF!
QCOM,2020-03-29,345000000,336000000,345000000,280000000,705000000,43000000,340000000,1083000000,14000000,1609000000,2706000000,468000000,243000000,2209000000,,1566000000,321000000,151000000,1211000000,46000000,#REF!
QCOM,2019-12-29,296000000,130000000,262000000,17000000,710000000,13000000,351000000,1118000000,14000000,963000000,730000000,925000000,290000000,1659000000,,203000000,281000000,23000000,155000000,9000000,#REF!
QCOM,2019-09-29,317000000,52000000,78000000,368000000,711000000,9000000,350000000,1227000000,34000000,746000000,2084000000,506000000,221000000,2940000000,,337000000,192000000,150000000,38000000,1135000000,#REF!
QCOM,2019-06-30,248000000,3104000000,1251000000,46000000,755000000,69000000,353000000,4909000000,2000000,151000000,3788000000,2149000000,1817000000,915000000,,208000000,85000000,87000000,38000000,97000000,#REF!
RTX,2019-12-31,2256000000,206000000,183000000,112000000,1216000000,2442000000,91000000,3783000000,8883000000,19000000,151000000,1208000000,5537000000,309000000,4564000000,1815000000,3092000000,1588000000,27000000,,#REF!
RTX,2018-12-31,1902000000,430000000,155000000,3030000000,537000000,2170000000,4000000,2433000000,6322000000,120000000,325000000,2806000000,5269000000,161000000,7965000000,10579000000,16973000000,2651000000,36000000,,#REF!
RTX,2017-12-31,2014000000,2588000000,576000000,448000000,1074000000,2074000000,85000000,2140000000,5631000000,210000000,1453000000,1829000000,4552000000,101000000,993000000,3079000000,3019000000,1571000000,31000000,,#REF!
RTX,2016-12-31,1699000000,1976000000,564000000,941000000,719000000,2069000000,304000000,1962000000,3880000000,120000000,2254000000,69000000,5055000000,49000000,1188000000,3686000000,2503000000,450000000,13000000,,#REF!
RTX,2020-03-31,412000000,651000000,24000000,707000000,614000000,700000000,980000000,661000000,94000000,47000000,646000000,83000000,191000000,1362000000,2745000000,1283000000,35000000,6000000,,728000000,#REF!
RTX,2019-12-31,897000000,347000000,552000000,287000000,612000000,97000000,952000000,2782000000,46000000,40000000,39000000,1143000000,198000000,1670000000,1073000000,1119000000,105000000,13000000,,42000000,#REF!
RTX,2019-09-30,529000000,490000000,718000000,395000000,611000000,18000000,967000000,2490000000,81000000,42000000,525000000,1148000000,162000000,1128000000,406000000,756000000,1160000000,3000000,,72000000,#REF!
RTX,2019-06-30,467000000,700000000,356000000,411000000,610000000,103000000,922000000,2111000000,25000000,40000000,574000000,1900000000,216000000,689000000,7000000,823000000,540000000,6000000,,52000000,#REF!
SBUX,2019-09-29,1806600000,1650200000,17500000,197700000,173000000,1761300000,56200000,1449300000,5047000000,49000000,10333900000,6069700000,3599200000,780900000,10056900000,1646000000,1010800000,1400000,409800000,167700000,#REF!
SBUX,2018-09-30,1976400000,800100000,41200000,131000000,41200000,1743400000,5600000,1305900000,11937800000,39500000,7196200000,6294000000,4518300000,823100000,3242800000,5584100000,2361500000,7501000000,153900000,312400000,#REF!
SBUX,2017-10-01,1519400000,210300000,4400000,96800000,14000000,1450400000,54300000,1067100000,4251800000,10800000,2125300000,333500000,2884700000,87200000,3079100000,350200000,850000000,177200000,150800000,529700000,#REF!
SBUX,2016-10-02,1440300000,497100000,8400000,55600000,67500000,1178000000,24900000,1030100000,4697900000,3500000,2101600000,598700000,2817700000,248800000,1872800000,1254500000,2222900000,227300000,160700000,877100000,#REF!
SBUX,2020-03-29,364000000,434400000,37800000,85900000,481000000,2600000,377700000,1361300000,18400000,616700000,468200000,328400000,634900000,1273100000,2348900000,361600000,390700000,32300000,5000000,10400000,#REF!
SBUX,2019-12-29,394300000,401700000,22900000,122800000,484200000,19900000,369200000,1836100000,27100000,1169800000,353900000,885700000,361900000,1123000000,497900000,386300000,316400000,33100000,27900000,10400000,#REF!
SBUX,2019-09-29,525900000,157500000,127600000,32500000,430600000,16700000,365700000,1108200000,46500000,2254900000,2076700000,802800000,16700000,2634100000,497900000,504300000,48900000,51300000,4800000,100000,#REF!
SBUX,2019-06-30,435100000,1026300000,79900000,89500000,436200000,35800000,360100000,1169400000,20800000,194800000,2708200000,1372800000,439700000,1355100000,1921000000,204500000,26500000,82800000,39700000,17700000,#REF!
SCHW,2019-12-31,708000000,830000000,11370000000,125000000,,1060000000,59000000,349000000,9325000000,,2220000000,7350000000,3704000000,1927000000,13939000000,593000000,11964000000,6494000000,118000000,14461000000,#REF!
SCHW,2018-12-31,570000000,733000000,61713000000,1100000000,,787000000,277000000,306000000,12456000000,,1000000000,19067000000,3507000000,7527000000,47166000000,12885000000,40555000000,1483000000,125000000,40133000000,#REF!
SCHW,2017-12-31,400000000,604000000,6141000000,3428000000,,592000000,383000000,269000000,839000000,,1000000000,1287000000,2354000000,4013000000,22599000000,16872000000,20473000000,4651000000,171000000,18619000000,#REF!
SCHW,2016-12-31,346000000,426000000,33996000000,3000000,,486000000,103000000,234000000,3603000000,,1000000000,209000000,1889000000,1477000000,34963000000,7000000,38775000000,2528000000,144000000,37223000000,#REF!
SCHW,2020-03-31,156000000,329000000,2763000000,,281000000,204000000,96000000,10118000000,,,49130000000,795000000,3896000000,58208000000,1089000000,19196000000,10031000000,23000000,17509000000,57377000000,#REF!
SCHW,2019-12-31,193000000,290000000,55000000,,252000000,39000000,94000000,4304000000,,,13293000000,852000000,680000000,10284000000,1089000000,1295000000,3693000000,53000000,329000000,10739000000,#REF!
SCHW,2019-09-30,205000000,221000000,495000000,,271000000,27000000,88000000,5402000000,,,1898000000,951000000,3000000,111000000,1089000000,7189000000,4634000000,17000000,6678000000,952000000,#REF!
SCHW,2019-06-30,171000000,162000000,745000000,,261000000,16000000,84000000,2214000000,,,7506000000,937000000,355000000,11883000000,593000000,2163000000,1421000000,22000000,2490000000,11082000000,#REF!
SO,2019-12-31,7555000000,2451000000,217000000,630000000,76000000,2570000000,527000000,3331000000,5781000000,,,459000000,4739000000,184000000,1930000000,13000000,3392000000,693000000,844000000,148000000,#REF!
SO,2018-12-31,8001000000,894000000,2101000000,426000000,172000000,2425000000,350000000,3549000000,6945000000,,,628000000,2226000000,28000000,1813000000,2579000000,5760000000,291000000,1090000000,114000000,#REF!
SO,2017-12-31,7423000000,3048000000,669000000,202000000,72000000,2300000000,1569000000,3457000000,6394000000,,,155000000,842000000,401000000,951000000,3127000000,7190000000,280000000,793000000,152000000,#REF!
SO,2016-12-31,7310000000,1455000000,98000000,544000000,48000000,2104000000,494000000,2923000000,4894000000,,,572000000,2448000000,187000000,15725000000,13973000000,20047000000,301000000,3758000000,1444000000,#REF!
SO,2020-03-31,1560000000,127000000,317000000,246000000,655000000,208000000,949000000,894000000,,,190000000,868000000,753000000,185000000,952000000,889000000,504000000,52000000,77000000,164000000,#REF!
SO,2019-12-31,2138000000,753000000,42000000,125000000,651000000,115000000,817000000,900000000,,,957000000,441000000,578000000,462000000,865000000,2319000000,462000000,221000000,7000000,27000000,#REF!
SO,2019-09-30,1933000000,677000000,65000000,206000000,650000000,96000000,891000000,2368000000,,,1549000000,1316000000,124000000,1256000000,1835000000,2075000000,110000000,171000000,7000000,100000000,#REF!
SO,2019-06-30,1806000000,26000000,275000000,108000000,646000000,61000000,772000000,1769000000,,,22000000,899000000,210000000,295000000,186000000,1452000000,262000000,228000000,124000000,63000000,#REF!
SPGI,2019-12-31,115000000,451000000,143000000,135000000,,560000000,,204000000,2776000000,34000000,1306000000,928000000,2123000000,155000000,1751000000,218000000,131000000,329000000,40000000,10000000,#REF!
SPGI,2018-12-31,113000000,412000000,179000000,164000000,,503000000,,206000000,2064000000,84000000,1726000000,821000000,1958000000,305000000,2288000000,86000000,513000000,36000000,34000000,5000000,#REF!
SPGI,2017-12-31,123000000,408000000,111000000,196000000,,421000000,,180000000,2016000000,87000000,1050000000,387000000,1496000000,64000000,1507000000,86000000,209000000,160000000,75000000,5000000,#REF!
SPGI,2016-12-31,115000000,731000000,121000000,177000000,,380000000,,181000000,1560000000,158000000,1178000000,911000000,2106000000,119000000,1662000000,71000000,1171000000,126000000,88000000,1000000,#REF!
SPGI,2020-03-31,11000000,87000000,76000000,,161000000,,49000000,680000000,30000000,1197000000,934000000,639000000,33000000,1401000000,,183000000,263000000,8000000,11000000,51000000,#REF!
SPGI,2019-12-31,38000000,146000000,85000000,,139000000,,51000000,1004000000,41000000,105000000,867000000,541000000,40000000,67000000,,111000000,410000000,2000000,7000000,43000000,#REF!
SPGI,2019-09-30,31000000,35000000,45000000,,140000000,,49000000,762000000,20000000,502000000,99000000,617000000,2000000,676000000,,33000000,7000000,7000000,7000000,41000000,#REF!
SPGI,2019-06-30,26000000,105000000,8000000,,140000000,,52000000,717000000,22000000,6000000,484000000,555000000,35000000,179000000,,32000000,90000000,8000000,3000000,41000000,#REF!
T,2019-12-31,19635000000,8887000000,7198000000,2812000000,,14888000000,,24904000000,48668000000,,2417000000,6895000000,13903000000,13214000000,25083000000,16771000000,16690000000,1524000000,631000000,70000000,#REF!
T,2018-12-31,21251000000,2398000000,3366000000,1580000000,,13410000000,,25338000000,43602000000,,609000000,45532000000,19370000000,10390000000,25989000000,9349000000,63145000000,1602000000,745000000,1233000000,#REF!
T,2017-12-31,21550000000,12218000000,2518000000,986000000,,12038000000,,21577000000,38010000000,,463000000,44997000000,29450000000,3439000000,25930000000,35880000000,18943000000,816000000,33000000,449000000,#REF!
T,2016-12-31,22408000000,2461000000,1616000000,1003000000,,11797000000,,23485000000,38442000000,,512000000,662000000,12976000000,1957000000,14462000000,683000000,23318000000,118000000,146000000,673000000,#REF!
T,2020-03-31,4966000000,37000000,1695000000,,3737000000,,7222000000,8866000000,,5463000000,2255000000,4610000000,3083000000,6099000000,2276000000,5022000000,3884000000,58000000,74000000,3102000000,#REF!
T,2019-12-31,3792000000,4268000000,309000000,,3726000000,,3648000000,11943000000,,2008000000,5513000000,2394000000,3929000000,2742000000,4124000000,3688000000,588000000,55000000,120000000,5897000000,#REF!
T,2019-09-30,5189000000,508000000,1037000000,,3726000000,,6949000000,11389000000,,169000000,1872000000,3700000000,2711000000,7558000000,6591000000,5703000000,2120000000,121000000,108000000,2807000000,#REF!
T,2019-06-30,5472000000,2833000000,1646000000,,3722000000,,7101000000,14284000000,,51000000,2024000000,3713000000,4341000000,10362000000,5262000000,1898000000,630000000,288000000,194000000,1615000000,#REF!
TMO,2019-12-31,926000000,335000000,69000000,225000000,458000000,297000000,118000000,2277000000,4973000000,63000000,1500000000,305000000,3696000000,248000000,3118000000,1405000000,1487000000,266000000,153000000,,#REF!
TMO,2018-12-31,758000000,92000000,51000000,366000000,324000000,266000000,9000000,2267000000,4543000000,297000000,500000000,756000000,2938000000,81000000,2237000000,1556000000,1253000000,201000000,136000000,,#REF!
TMO,2017-12-31,508000000,747000000,3000000,362000000,81000000,237000000,2000000,2033000000,4005000000,420000000,750000000,550000000,2225000000,663000000,3854000000,3026000000,7729000000,274000000,1818000000,,#REF!
TMO,2016-12-31,444000000,334000000,14000000,352000000,98000000,238000000,76000000,1748000000,3258000000,152000000,1250000000,345000000,2022000000,20000000,2759000000,4174000000,5520000000,56000000,87000000,,#REF!
TMO,2020-03-28,253000000,69000000,218000000,141000000,76000000,7000000,574000000,356000000,127000000,1500000000,588000000,788000000,475000000,619000000,2245000000,260000000,241000000,48000000,,98000000,#REF!
TMO,2019-12-31,289000000,246000000,96000000,9000000,76000000,88000000,576000000,1913000000,57000000,750000000,1117000000,1002000000,194000000,514000000,294000000,339000000,196000000,38000000,,20000000,#REF!
TMO,2019-09-28,216000000,172000000,326000000,176000000,77000000,11000000,575000000,1117000000,59000000,7000000,1009000000,760000000,160000000,1869000000,1736000000,198000000,272000000,38000000,,49000000,#REF!
TMO,2019-06-29,220000000,709000000,34000000,133000000,76000000,4000000,571000000,1294000000,29000000,7000000,1186000000,1119000000,485000000,690000000,725000000,769000000,73000000,41000000,,49000000,#REF!
TMUS,2019-12-31,6391000000,2299000000,45000000,4724000000,617000000,,650000000,6616000000,6824000000,,156000000,325000000,3468000000,235000000,2374000000,2173000000,4125000000,17000000,,,#REF!
TMUS,2018-12-31,5541000000,2058000000,264000000,6215000000,201000000,,21000000,6486000000,3899000000,,1217000000,16000000,2888000000,250000000,3336000000,1855000000,579000000,867000000,,,#REF!
TMUS,2017-12-31,5237000000,373000000,183000000,5743000000,844000000,,1000000,5984000000,3831000000,,593000000,4281000000,4536000000,808000000,1367000000,536000000,6745000000,1079000000,,,#REF!
TMUS,2016-12-31,4702000000,1287000000,17000000,4132000000,802000000,,8000000,6142000000,2779000000,,121000000,918000000,1460000000,25000000,463000000,622000000,2324000000,1201000000,,,#REF!
TMUS,2020-03-31,1753000000,586000000,679000000,511000000,,596000000,1718000000,1617000000,,141000000,416000000,951000000,43000000,453000000,307000000,1580000000,405000000,,,5000000,#REF!
TMUS,2019-12-31,1157000000,571000000,1553000000,478000000,,644000000,1776000000,1537000000,,48000000,125000000,751000000,114000000,775000000,723000000,887000000,356000000,,,4000000,#REF!
TMUS,2019-09-30,1514000000,611000000,823000000,36000000,,1000000,1655000000,1748000000,,4000000,548000000,870000000,134000000,543000000,535000000,657000000,395000000,,,4000000,#REF!
TMUS,2019-06-30,1789000000,535000000,955000000,162000000,,1000000,1585000000,2147000000,,4000000,334000000,939000000,162000000,866000000,829000000,1615000000,43000000,,,33000000,#REF!
TSLA,2019-12-31,1432000000,1321000000,380000000,367000000,429000000,,46000000,2107000000,2405000000,8000000,,2506000000,862000000,1036000000,1529000000,798000000,1436000000,1483000000,1111000000,,#REF!
TSLA,2018-12-31,2319000000,956000000,189000000,497000000,1023000000,,46000000,1901000000,2098000000,23000000,,312000000,976000000,551000000,574000000,89000000,2337000000,2129000000,296000000,,#REF!
TSLA,2017-12-31,4081000000,671000000,371000000,25000000,179000000,,46000000,1636000000,61000000,40000000,,198000000,1962000000,1150000000,4415000000,3385000000,4196000000,857000000,659000000,,#REF!
TSLA,2016-12-31,1440471000,203157000,160235000,216565000,632867000,,46000000,947099000,123829000,6553000,,2532509000,674914000,978031000,3743976000,1718190000,1081085000,1133602000,1865551000,,#REF!
TSLA,2020-03-31,481000000,392000000,14000000,981000000,,1000000,553000000,440000000,24000000,,1764000000,16000000,240000000,2708000000,287000000,480000000,212000000,2469000000,,48000000,#REF!
TSLA,2019-12-31,449000000,462000000,217000000,56000000,,46000000,577000000,1425000000,14000000,,957000000,105000000,324000000,79000000,195000000,403000000,716000000,96000000,,20000000,#REF!
TSLA,2019-09-30,409933000,216850000,18312000,132572000,,46000000,530851000,756000000,11471000,,377095000,143000000,317333000,118178000,47745000,485612000,240546000,71183000,,750000,#REF!
TSLA,2019-06-30,267874000,411205000,68672000,456724000,,46000000,531572000,863606000,593000,,2765495000,407865000,337047000,2142841000,1622445000,241545000,236143000,865864000,,345468000,#REF!
TXN,2019-12-31,847000000,269000000,42000000,133000000,216000000,3008000000,32000000,996000000,6649000000,,2960000000,1000000,5017000000,250000000,4730000000,741000000,1920000000,93000000,539000000,1135000000,#REF!
TXN,2018-12-31,1131000000,56000000,47000000,71000000,282000000,2555000000,23000000,905000000,7189000000,,5100000000,782000000,5580000000,662000000,6329000000,1000000000,78000000,7000000,373000000,1067000000,#REF!
TXN,2017-12-31,695000000,360000000,31000000,7000000,167000000,2104000000,12000000,856000000,5363000000,,2556000000,502000000,3682000000,73000000,3734000000,474000000,1127000000,51000000,483000000,460000000,#REF!
TXN,2016-12-31,531000000,83000000,3000000,108000000,99000000,1646000000,6000000,918000000,4614000000,,2132000000,154000000,3595000000,45000000,3810000000,501000000,650000000,72000000,472000000,113000000,#REF!
TXN,2020-03-31,161000000,35000000,242000000,2000000,841000000,5000000,236000000,851000000,,1641000000,81000000,1174000000,441000000,1596000000,749000000,826000000,0,146000000,992000000,9000000,#REF!
TXN,2019-12-31,163000000,69000000,268000000,39000000,841000000,7000000,236000000,1754000000,,489000000,1456000000,1070000000,80000000,1289000000,749000000,1921000000,29000000,48000000,1765000000,7000000,#REF!
TXN,2019-09-30,149000000,67000000,77000000,39000000,721000000,1000000,262000000,1992000000,,456000000,80000000,1425000000,173000000,998000000,2000000,914000000,29000000,194000000,766000000,13000000,#REF!
TXN,2019-06-30,284000000,43000000,21000000,52000000,722000000,37000000,253000000,1796000000,,863000000,93000000,1305000000,147000000,1445000000,2000000,258000000,26000000,146000000,39000000,6000000,#REF!
UNH,2019-12-31,2071000000,1221000000,1224000000,162000000,,3932000000,219000000,1999000000,18463000000,20000000,5500000000,119000000,13839000000,342000000,5625000000,3994000000,12699000000,863000000,1037000000,2504000000,#REF!
UNH,2018-12-31,2063000000,1005000000,1517000000,1351000000,,3320000000,226000000,1822000000,15713000000,78000000,4500000000,1115000000,11986000000,1081000000,4365000000,4134000000,12385000000,564000000,838000000,4099000000,#REF!
UNH,2017-12-31,2023000000,114000000,2759000000,1062000000,,2773000000,126000000,1695000000,13596000000,5000000,1500000000,1551000000,10558000000,654000000,3441000000,2615000000,8599000000,1087000000,688000000,4319000000,#REF!
UNH,2016-12-31,1705000000,540000000,1111000000,1357000000,,2261000000,37000000,1580000000,9795000000,78000000,1280000000,493000000,7017000000,248000000,1011000000,990000000,9355000000,1292000000,429000000,5927000000,#REF!
UNH,2020-03-31,469000000,561000000,2652000000,,1024000000,165000000,723000000,2943000000,129000000,1691000000,10584000000,3382000000,3129000000,9303000000,10797000000,1533000000,4058000000,557000000,30000000,664000000,#REF!
