stock,endDate,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome,incomeBeforeTax,researchDevelopment,otherOperatingExpenses,minorityInterest,discontinuedOperations
CRM,2019-07-31,91000000,91000000,60000000,967000000,3773000000,3997000000,73000000,34000000,224000000,224000000,3030000000,2199000000,91000000,164000000,607000000,,,
CRM,2019-04-30,392000000,392000000,272000000,914000000,3527000000,3737000000,90000000,35000000,210000000,210000000,2823000000,2059000000,392000000,482000000,554000000,,,
DHR,2019-12-31,2939800000,2432300000,23900000,7927400000,14629700000,17911100000,873000000,108600000,3281400000,3281400000,9983700000,5576300000,3008200000,3305300000,1126000000,,11300000,575900000
DHR,2018-12-31,2650900000,2406300000,127700000,7543200000,13958900000,17048500000,555600000,136900000,3089600000,3089600000,9505300000,5356500000,2650900000,2961900000,1059200000,,12300000,244600000
DHR,2017-12-31,2492100000,2172200000,59800000,6947500000,12915800000,15518800000,371000000,140100000,2603000000,2603000000,8571300000,5011900000,2492100000,2543200000,956400000,,9600000,319900000
DHR,2016-12-31,2553700000,2153400000,292300000,7522400000,13978800000,16882400000,457900000,184400000,2903600000,2903600000,9360000000,5481300000,2553700000,2611300000,975100000,,74000000,400300000
DHR,2020-04-03,575500000,595100000,300000,1900300000,3632300000,4343100000,116000000,47400000,710800000,710800000,2442800000,1445000000,595100000,711100000,287000000,11300000,,
DHR,2019-12-31,1255500000,792900000,13800000,2164800000,3906700000,4868400000,182600000,44400000,961700000,961700000,2703600000,1448100000,1275100000,975500000,293800000,11300000,,
DHR,2019-09-27,648400000,673900000,3800000,2228900000,4198100000,5037300000,169100000,26300000,839200000,839200000,2808400000,1650300000,668000000,843000000,318900000,693300000,,
DHR,2019-06-28,708600000,731300000,5600000,2279200000,4266500000,5156600000,164400000,20600000,890100000,890100000,2877400000,1665500000,731300000,895700000,321800000,12000000,,
BMY,2019-12-31,3439000000,3460000000,2089000000,7220000000,19081000000,26145000000,1515000000,656000000,7064000000,7064000000,18925000000,4835000000,3439000000,4975000000,5891000000,,100000000,
BMY,2018-12-31,4920000000,4947000000,447000000,6409000000,16146000000,22561000000,1021000000,183000000,6415000000,6415000000,16152000000,4522000000,4920000000,5968000000,5118000000,,96000000,
BMY,2017-12-31,1007000000,975000000,1151000000,5865000000,16796000000,20776000000,4156000000,196000000,3980000000,3980000000,14911000000,4749000000,1007000000,5131000000,6085000000,,106000000,
BMY,2016-12-31,4457000000,4507000000,728000000,4948000000,14240000000,19427000000,1408000000,167000000,5187000000,5187000000,14479000000,4815000000,4457000000,5915000000,4477000000,,170000000,
BMY,2020-03-31,775000000,766000000,2664000000,2226000000,8421000000,10781000000,462000000,353000000,2360000000,2360000000,8555000000,1596000000,775000000,304000000,2299000000,66000000,,
BMY,2019-12-31,1056000000,1060000000,1517000000,1747000000,6557000000,7945000000,931000000,303000000,1388000000,1388000000,6198000000,1730000000,1056000000,129000000,1945000000,100000000,,
BMY,2019-09-30,1353000000,1366000000,461000000,1788000000,4197000000,6007000000,17000000,201000000,1810000000,1810000000,4219000000,1047000000,1353000000,1349000000,1362000000,106000000,,
BMY,2019-06-30,1432000000,1439000000,302000000,1853000000,4195000000,6273000000,337000000,114000000,2078000000,2078000000,4420000000,1058000000,1432000000,1776000000,1284000000,102000000,,
NEE,2019-12-31,3769000000,3388000000,1637000000,7912000000,13731000000,19204000000,448000000,2249000000,5473000000,5473000000,11292000000,94000000,3769000000,3836000000,,1697000000,4842000000,
NEE,2018-12-31,6638000000,5776000000,2938000000,7062000000,12313000000,16727000000,1576000000,1498000000,4414000000,4414000000,9665000000,168000000,6638000000,7352000000,,1508000000,3737000000,
NEE,2017-12-31,5380000000,5323000000,1320000000,7529000000,11190000000,17173000000,660000000,1558000000,5983000000,5983000000,9644000000,151000000,5380000000,4663000000,,1455000000,1295000000,
NEE,2016-12-31,2906000000,2999000000,80000000,7521000000,11840000000,16138000000,1379000000,1098000000,4298000000,4298000000,8617000000,144000000,2906000000,4378000000,,1343000000,990000000,
NEE,2020-03-31,421000000,308000000,1687000000,1651000000,2853000000,4613000000,235000000,1311000000,1760000000,1760000000,2962000000,52000000,421000000,73000000,,4710000000,406000000,
NEE,2019-12-31,975000000,844000000,203000000,2028000000,3349000000,4588000000,192000000,188000000,1239000000,1239000000,2560000000,42000000,975000000,1036000000,,4842000000,310000000,
NEE,2019-09-30,879000000,798000000,789000000,2129000000,3927000000,5572000000,58000000,746000000,1645000000,1645000000,3443000000,50000000,879000000,856000000,,3648000000,553000000,
NEE,2019-06-30,1234000000,1139000000,171000000,1974000000,3536000000,4970000000,124000000,601000000,1434000000,1434000000,2996000000,35000000,1234000000,1263000000,,3584000000,416000000,
PM,2019-12-31,7168000000,7728000000,843000000,10513000000,18941000000,29805000000,2293000000,796000000,10864000000,10864000000,19292000000,8362000000,7185000000,10021000000,,,1978000000,
PM,2018-12-31,7895000000,8286000000,605000000,10758000000,18289000000,29625000000,2445000000,855000000,11336000000,11336000000,18867000000,7449000000,7911000000,10731000000,,,1720000000,
