stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
ADI,2017-10-28,236629000,550816000,7551084000,688953000,7375340000,27804000,2351338000,1107304000,61359000,32322000,1596332000,1047838000,117968000,61359000,12217455000,1832338000,4910939000,,61441000,21141294000,598225000,,10161540000,10979754000,5250519000,5319425000,,,
ADI,2016-10-29,171439000,376555000,1732177000,477609000,2937134000,21937000,4974863000,636116000,73814000,36005000,782934000,921132000,108878000,73814000,1679116000,289549000,4785799000,,51363000,7970278000,368012000,,5165618000,2804660000,402270000,549368000,,,
ADI,2020-05-02,194211000,590268000,5142223000,588244000,4591714000,76025000,2051293000,1433027000,277002000,1553902000,1582002000,784937000,1608021000,277002000,12253670000,2756289000,6945442000,,61405000,21350938000,208504000,,11590858000,9760080000,4861013000,3928902000,,694045000,
ADI,2020-02-01,211670000,588503000,4745302000,584366000,4640625000,30232000,1911179000,1436048000,202147000,1567521000,1770542000,654408000,1669226000,202147000,12257064000,2905471000,6906346000,,61371000,21376827000,162523000,,11689517000,9687310000,4923947000,4073078000,,904660000,
ADI,2019-11-02,225270000,609886000,5192252000,635136000,4764916000,30170000,1985126000,1219989000,187799000,1582382000,1508632000,648322000,1683252000,187799000,12256880000,2982569000,6899253000,,61385000,21392641000,479317000,,11709188000,9683453000,4936349000,4217224000,,438465000,
ADI,2019-08-03,220230000,638305000,5278643000,689976000,4804028000,32290000,2007058000,1221192000,153673000,1606267000,1483680000,612164000,1711845000,153673000,12247888000,3014090000,6821755000,,61569000,21566650000,193588000,,11790237000,9776413000,5060586000,4346377000,,533234000,
ADP,2019-06-30,125500000,,2002200000,2439300000,2005400000,,34342300000,764200000,257300000,64000000,32627700000,1949200000,3386700000,13347800000,2323000000,1857900000,17500600000,29943300000,63900000,41887700000,29760100000,,5399900000,36487800000,1183200000,1071500000,10500000,,
ADP,2018-06-30,135400000,,2002400000,1984200000,1606000000,,31823300000,793700000,679800000,68900000,30412700000,2170000000,3095000000,12889400000,2243500000,1698100000,16546600000,27665800000,63900000,38849100000,28062000000,,4735900000,34113200000,1014800000,886400000,3300000,,
ADP,2017-06-30,149700000,,2002400000,1703600000,1615800000,,32658700000,779900000,379200000,93400000,29815900000,2780400000,1372600000,11682900000,1741000000,1384700000,14728200000,28171500000,63900000,37180000000,27721800000,,3977000000,33203000000,867800000,620200000,3200000,,
ADP,2016-06-30,152300000,,2007700000,1742800000,2265400000,,39500400000,685000000,215100000,100300000,35847400000,3191100000,1260600000,10353700000,1682000000,1333300000,14003300000,34543000000,63900000,43670000000,33831600000,,4481600000,39188400000,768100000,534200000,23500000,,
