Symbol,Nombre oficial,Sector,Subsector,Security Name,Country
PSA,PUBLIC STORAGE,Real Estate,Residential & Commercial REIT,Public Storage Common Stock,United States
PSAU,PowerShares Global Gold & Precious Metals Portfolio,,,PowerShares Global Gold & Precious Metals Portfolio,France
PSBH,"PSB Holdings, Inc.",,,"PSB Holdings, Inc. - Common Stock",United States
PSCC,PowerShares S&P SmallCap Consumer Staples Portfolio,,,PowerShares S&P SmallCap Consumer Staples Portfolio,India
PSCD,PowerShares S&P SmallCap Consumer Discretionary Portfolio,,,PowerShares S&P SmallCap Consumer Discretionary Portfolio,India
PSCE,PowerShares S&P SmallCap Energy Portfolio,,,PowerShares S&P SmallCap Energy Portfolio,India
PSCF,PowerShares S&P SmallCap Financials Portfolio,,,PowerShares S&P SmallCap Financials Portfolio,India
PSCH,PowerShares S&P SmallCap Health Care Portfolio,,,PowerShares S&P SmallCap Health Care Portfolio,India
PSCI,PowerShares S&P SmallCap Industrials Portfolio,,,PowerShares S&P SmallCap Industrials Portfolio,France
PSCM,PowerShares S&P SmallCap Materials Portfolio,,,PowerShares S&P SmallCap Materials Portfolio,Germany
PSCT,PowerShares S&P SmallCap Information Technology Portfolio,,,PowerShares S&P SmallCap Information Technology Portfolio,Germany
PSCU,PowerShares S&P SmallCap Utilities Portfolio,,,PowerShares S&P SmallCap Utilities Portfolio,United Kingdom
PSDV,pSivida Corp.,,,pSivida Corp. - Common Stock,Turkey
PSEC,PSEC,Financials,Collective Investments,Prospect Capital Corporation - Common Stock,United States
PSEM,Pericom Semiconductor Corporation,,,Pericom Semiconductor Corporation - Common Stock,India
PSIX,Power Solu Int,Industrials,Automobiles & Auto Parts,"Power Solutions International, Inc. - Common Stock",France
PSMT,"PRICESMART, INC.",Consumer Staples,Diversified Retail,"PriceSmart, Inc. - Common Stock",United States
PSTB,Park Sterling Corporation,,,Park Sterling Corporation - Common Stock,United States
PSTI,Pluristem,Health Care,Biotechnology & Medical Research,"Pluristem Therapeutics, Inc. - Common Stock",Israel
PSTR,PostRock Energy Corporation,,,PostRock Energy Corporation - Common Stock,United States
PSUN,"Pacific Sunwear of California, Inc.",,,"Pacific Sunwear of California, Inc. - Common Stock",United States
PSX,Phillips 66,Energy,Oil & Gas,Phillips 66 Common Stock,United States
PTBI,"PlasmaTech Biopharmaceuticals, Inc.",,,"PlasmaTech Biopharmaceuticals, Inc. - Common Stock",Germany
PTBIW,"PlasmaTech Biopharmaceuticals, Inc.",,,"PlasmaTech Biopharmaceuticals, Inc. - Warrant",Germany
PTC,PTC INC.,Information Technology,Software & IT Services,PTC Inc. - Common Stock,United States
PTCT,PTC Therapeutics,Health Care,Biotechnology & Medical Research,"PTC Therapeutics, Inc. - Common Stock",United States
PTEN,"PATTERSON-UTI ENERGY, INC.",Utilities,Oil & Gas Related Equipment and Services,"Patterson-UTI Energy, Inc. - Common Stock",United States
PTIE,Pain Therapeutics,,,Pain Therapeutics - Common Stock,United States
PTLA,"Portola Pharmaceuticals, Inc.",,,"Portola Pharmaceuticals, Inc. - Common Stock",Germany
PTNR,Partner Comm,Communication Services,Telecommunications Services,"Partner Communications Company Ltd. - American Depositary Shares, each representing one ordinary share",Israel
PTNT,Internet Patents Corporation,,,Internet Patents Corporation - Common Stock,United States
PTRY,"The Pantry, Inc.",,,"The Pantry, Inc. - Common Stock",United States
PTSI,PAM Transp Srvcs,Utilities,Freight & Logistics Services,"P.A.M. Transportation Services, Inc. - Common Stock",United States
PTX,Palantir Tech,Information Technology,Software & IT Services,"Pernix Therapeutics Holdings, Inc. - Common Stock",United States
PULB,Pulaski Financial Corp.,,,Pulaski Financial Corp. - Common Stock,United States
PVH,PVH CORP.,Industrials,Textiles & Apparel,PVH Corp. Common Stock,United States
PVTB,"PrivateBancorp, Inc.",,,"PrivateBancorp, Inc. - Common Stock",United States
PVTBP,"PrivateBancorp, Inc.",,,"PrivateBancorp, Inc. - PrivateBancorp Capital Trust IV - 10% Trust Preferred",United States
PWOD,Penns Woods,Financials,Banking Services,"Penns Woods Bancorp, Inc. - Common Stock",United States
PWR,Quanta Services,Industrials,Construction & Engineering,Quanta Services Inc. Common Stock,United States
PWRD,"Perfect World Co., Ltd.",,,"Perfect World Co., Ltd. - American Depositary Shares, each representing five Class B ordinary shares",United States
PWX,Polwax,Energy,Oil & Gas,Providence and Worcester Railroad Company - Common Stock,United States
